,phrase,label,sentiment,subjectivity,language,count
SPÖ,SPÖ,ORG,-0.18571428571428572,0.0,de,7
Mainz,Mainz,ORG,0.14285714285714285,0.0,de,7
BILD-Noten,BILD-Noten,ORG,0.0,0.0,de,7
Eintracht Frankfurts,Eintracht Frankfurts,ORG,0.0,0.0,de,7
Sahra Wagenknecht,Sahra Wagenknecht,ORG,0.16666666666666666,0.0,de,6
EU,EU,ORG,-0.2333333333333334,0.0,de,6
SC Frei­burg,SC Frei­burg,ORG,-0.11666666666666665,0.0,de,6
deutschen Fußball-Nationalmannschaft,deutschen Fußball-Nationalmannschaft,ORG,-0.2333333333333333,0.0,de,6
VAR,VAR,ORG,-0.21666666666666667,0.0,de,6
Darmstadt 98,Darmstadt 98,ORG,0.0,0.16666666666666666,de,6
Bundestag,Bundestag,ORG,-0.025000000000000005,0.0,de,6
FC Nürnberg,FC Nürnberg,ORG,-0.11666666666666665,0.0,de,6
Bundesliga-Schlusslicht Hoffenheim,Bundesliga-Schlusslicht Hoffenheim,ORG,0.0,0.0,de,6
Halleschen FC,Halleschen FC,ORG,-0.10000000000000002,0.0,de,6
Champions-League-Plätze,Champions-League-Plätze,ORG,0.35000000000000003,0.0,de,6
Hause,Hause,ORG,0.19166666666666665,0.0,de,6
FCA,FCA,ORG,-0.19999999999999998,0.0,de,6
Bayern-Trainer,Bayern-Trainer,ORG,0.25,0.08333333333333333,de,6
Stream,Stream,ORG,0.0,0.0,de,6
FC Schalke,FC Schalke,ORG,0.4166666666666667,0.0,de,6
ARD,ARD,ORG,0.19166666666666665,0.0,de,6
SC-Profi,SC-Profi,ORG,-0.6666666666666666,0.0,de,6
VfB.,VfB.,ORG,0.0,0.2,de,5
HFC,HFC,ORG,0.26,0.0,de,5
FC Luzern,FC Luzern,ORG,0.4,0.0,de,5
SV Darmstadt 98,SV Darmstadt 98,ORG,-0.2333333333333333,0.0,de,5
Cercle Brügge,Cercle Brügge,ORG,0.0,0.0,de,5
FC St. Pauli,FC St. Pauli,ORG,0.2,0.0,de,5
FC Winterthur,FC Winterthur,ORG,-0.36,0.0,de,5
FDP,FDP,ORG,0.0,0.0,de,5
Ajax Amsterdam,Ajax Amsterdam,ORG,0.13999999999999999,0.0,de,5
Breitband,Breitband,ORG,0.0,0.0,de,5
AFD,AFD,ORG,0.0,0.0,de,5
Erstligisten,Erstligisten,ORG,0.0,0.0,de,5
Bundesliga-Geschichte,Bundesliga-Geschichte,ORG,0.0,0.0,de,5
SV Meppen,SV Meppen,ORG,0.0,0.0,de,5
RB Leipzig Live!,RB Leipzig Live!,ORG,0.27999999999999997,0.0,de,5
Bundesliga-Spielen,Bundesliga-Spielen,ORG,0.0,0.0,de,5
EU-Parlament,EU-Parlament,ORG,-0.13999999999999999,0.0,de,5
Doan,Doan,ORG,0.6799999999999999,0.0,de,5
EU-Parlamentarier,EU-Parlamentarier,ORG,-0.030000000000000006,0.0,de,5
Köln,Köln,ORG,0.26,0.0,de,5
VfB Lübeck,VfB Lübeck,ORG,0.13999999999999999,0.0,de,5
TSC Backa Topola,TSC Backa Topola,ORG,0.33999999999999997,0.0,de,5
SC Freiburg!,SC Freiburg!,ORG,0.27999999999999997,0.0,de,5
TSV 1860 München,TSV 1860 München,ORG,0.0,0.0,de,5
SC Freiburg,SC Freiburg,ORG,0.4,0.0,de,5
ZSC Lions,ZSC Lions,ORG,0.2,0.0,de,5
Fußball-Zweitligist,Fußball-Zweitligist,ORG,-0.4,0.0,de,5
Die Grünen,Die Grünen,ORG,-0.5,0.0,de,4
Sané,Sané,ORG,0.25,0.0,de,4
Traumlose VfB Stuttgart,Traumlose VfB Stuttgart,ORG,0.0,0.0,de,4
Frauenfußball,Frauenfußball,ORG,0.0,0.25,de,4
Preußen Münster,Preußen Münster,ORG,0.0,0.0,de,4
Freiburgerinnen,Freiburgerinnen,ORG,-0.35,0.0,de,4
TSG Balingen,TSG Balingen,ORG,0.0,0.0,de,4
Topola,Topola,ORG,0.175,0.0,de,4
DFL-Führung,DFL-Führung,ORG,0.0,0.0,de,4
Bundesligakader,Bundesligakader,ORG,0.0,0.0,de,4
ANC,ANC,ORG,0.35,0.0,de,4
Europa-League-Teilnehmer SC Freiburg,Europa-League-Teilnehmer SC Freiburg,ORG,0.05833333333333333,0.0,de,4
Regionalliga,Regionalliga,ORG,0.0,0.0,de,4
Serie A,Serie A,ORG,0.35,0.0,de,4
U-21-Nationalspieler,U-21-Nationalspieler,ORG,-1.0,0.0,de,4
Bayern-Jäger SC Freiburg,Bayern-Jäger SC Freiburg,ORG,0.0,0.0,de,4
Premier-League-Klub,Premier-League-Klub,ORG,-1.0,0.0,de,4
schwedischen Meister,schwedischen Meister,ORG,0.0,0.0,de,4
Europacup-Starter,Europacup-Starter,ORG,0.0,0.0,de,4
Grüne,Grüne,ORG,0.25,0.0,de,4
die Grünen,die Grünen,ORG,0.175,0.0,de,4
SC Fre,SC Fre,ORG,0.0,0.0,de,4
AfD.,AfD.,ORG,0.0,0.0,de,4
Borussia Dortmund II,Borussia Dortmund II,ORG,-0.35,0.0,de,4
Grünen,Grünen,ORG,0.0,0.0,de,4
SC-Spieler,SC-Spieler,ORG,0.175,0.0,de,4
Nationalmannschaft,Nationalmannschaft,ORG,0.25,0.0,de,4
Zweitligist,Zweitligist,ORG,0.175,0.0,de,4
AS Rom,AS Rom,ORG,0.0,0.0,de,4
"TSG Hoffenheim  t-online
","TSG Hoffenheim  t-online
",ORG,-0.425,0.0,de,4
Livestream,Livestream,ORG,0.0,0.0,de,4
Deutsche Fußball-Bund,Deutsche Fußball-Bund,ORG,0.0,0.0,de,4
Karabach Agdam,Karabach Agdam,ORG,0.35,0.0,de,4
fr.de,fr.de,ORG,0.25,0.0,de,4
TSG,TSG,ORG,-0.25,0.0,de,4
Sozialdemokraten,Sozialdemokraten,ORG,0.175,0.0,de,4
Freiburg-Star,Freiburg-Star,ORG,0.0,0.0,de,4
Club,Club,ORG,0.0,0.25,de,4
FK TSC Baka Topola,FK TSC Baka Topola,ORG,0.38749999999999996,0.0,de,4
SC-Kapitänin,SC-Kapitänin,ORG,0.0,0.0,de,4
badischen Fußball-Bundesligisten,badischen Fußball-Bundesligisten,ORG,-0.4083333333333333,0.0,de,4
SC Freiburg - Union Berlin,SC Freiburg - Union Berlin,ORG,-0.25,0.0,de,4
Hoffenheimer,Hoffenheimer,ORG,0.5,0.0,de,4
Kommunistische Partei,Kommunistische Partei,ORG,-0.75,0.0,de,4
TSV 1860,TSV 1860,ORG,0.0,0.0,de,4
DWI,DWI,ORG,0.5249999999999999,0.0,de,4
RB,RB,ORG,0.0,0.0,de,4
TV & Stream,TV & Stream,ORG,0.0,0.0,de,4
badische Fußball-Bundesligist,badische Fußball-Bundesligist,ORG,0.0,0.0,de,4
Club Zürich,Club Zürich,ORG,-0.5,0.0,de,4
ZDF,ZDF,ORG,0.0,0.0,de,3
SVP,SVP,ORG,0.0,0.0,de,3
DFB-Spieler,DFB-Spieler,ORG,-0.7166666666666667,0.0,de,3
Deutsche Bundesliga,Deutsche Bundesliga,ORG,0.0,0.0,de,3
Die PARTEI,Die PARTEI,ORG,-0.6666666666666666,0.0,de,3
Herthas Prügel-Profi,Herthas Prügel-Profi,ORG,0.0,0.0,de,3
ABC,ABC,ORG,0.0,0.0,de,3
Racing Straßburg,Racing Straßburg,ORG,0.2333333333333333,0.0,de,3
FC St. Pauli II.,FC St. Pauli II.,ORG,0.3333333333333333,0.0,de,3
River Plate,River Plate,ORG,0.0,0.0,de,3
Antisemitismus,Antisemitismus,ORG,-0.3333333333333333,0.0,de,3
SC-Profi Sallai,SC-Profi Sallai,ORG,0.0,0.0,de,3
